Key	Type	Reactions	MetaCyc	EC	MSID
1.6.5.9	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn37813
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn05796
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn20262
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn39005
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn39006
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn39007
1.6.99.5	EC	Complex I_Ca.Nitrospira_dfluvii	NA	NA	rxn39008
nadB	gene	Complex II_Ca.Nitrospira_dfluvii	L-ASPARTATE-OXID-RXN	1.4.3.16	rxn00262
nadB	gene	Complex II_Ca.Nitrospira_dfluvii	L-ASPARTATE-OXID-RXN	1.4.3.16	rxn00338
nadB	gene	Complex II_Ca.Nitrospira_dfluvii	L-ASPARTATE-OXID-RXN	1.4.3.16	rxn08168
nadE	gene	Complex II_Ca.Nitrospira_dfluvii	NAD-SYNTH-GLN-RXN	6.3.5.1	rxn00138
nadE	gene	Complex II_Ca.Nitrospira_dfluvii	NAD-SYNTH-GLN-RXN	6.3.5.1	rxn00190
nadE	gene	Complex II_Ca.Nitrospira_dfluvii	NAD-SYNTH-NH3-RXN	6.3.1.5	rxn00138
nadE	gene	Complex II_Ca.Nitrospira_dfluvii	NAD-SYNTH-NH3-RXN	6.3.1.5	rxn30039
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn06109
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn09272
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn09417
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn27229
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn33444
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn37562
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn37563
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn37641
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn38991
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn38995
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-14971	1.3.5.1	rxn00288
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn06109
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn09272
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn09417
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn27229
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn33444
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn37562
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn37563
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn37641
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn38991
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn38995
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	1.3.5.1	rxn00288
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-7644	1.1.1.14	rxn00634
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-7644	1.1.1.14	rxn04943
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-7644	1.1.1.14	rxn24346
sdhA	gene	Complex II_Ca.Nitrospira_dfluvii	RXN-7644	1.1.1.14	rxn37282
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn00288
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn05836
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn08527
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn08528
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn09272
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn13706
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn13707
1.3.99.1	EC	Complex II_Ca.Nitrospira_dfluvii	NA	NA	rxn27226
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn06106
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn10044
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn12750
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn13689
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn16999
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn27461
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn37579
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn37580
1.10.2.2	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn37650
7.1.1.8	EC	Complex III_Ca.Nitrospira_dfluvii	NA	NA	rxn13689
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	NA	NA	rxn00062
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	NA	NA	rxn08173
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	NA	NA	rxn13766
3.6.3.14	EC	Complex V_Ca.Nitrospira_dfluvii	NA	NA	rxn27727
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	2.7.7.4	rxn00379
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	2.7.7.4	rxn03373
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	2.7.7.4	rxn27259
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	2.7.7.4	rxn34004
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	1.8.4.10	rxn05256
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-12019	1.8.4.10	rxn22316
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.8-RXN	1.8.4.8	rxn05239
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.8-RXN	1.8.4.8	rxn09069
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.8-RXN	1.8.4.8	rxn17275
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.8-RXN	1.8.4.8	rxn27490
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.8-RXN	1.8.4.8	rxn37904
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	1.8.4.9	rxn03983
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	1.8.4.9	rxn23130
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	1.8.4.9	rxn34005
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	2.7.7.4	rxn00379
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	2.7.7.4	rxn03373
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	2.7.7.4	rxn27259
cysH	gene	K00390_Sulfer metabolism in Cenarchaeota_I.ramosa	1.8.4.9-RXN	2.7.7.4	rxn34004
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn03371
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn05903
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn11934
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn13994
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn19074
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.99.2	rxn27687
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	2.8.1.3	rxn06060
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	2.8.1.3	rxn24684
aprB	gene	K00395_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFATE-REDUCTASE-RXN	1.8.5.4	rxn20673
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn00379
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn03373
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn27259
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.7.4	rxn34004
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.2.1.11	rxn01643
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.2.1.11	rxn33374
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.2.1.11	rxn33956
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.1.25	rxn00361
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.1.25	rxn03372
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	2.7.1.25	rxn34004
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.8.1.2	rxn00623
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.8.1.2	rxn02570
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.8.1.2	rxn06418
cysC	gene	K00860_Sulfer metabolism in Cenarchaeota_I.ramosa	ADENYLYLSULFKIN-RXN	1.8.1.2	rxn34008
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn00379
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn03373
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn27259
met3	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn34004
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn00379
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn03373
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn27259
sat	gene	K00958_Sulfer metabolism in Cenarchaeota_I.ramosa	SULFATE-ADENYLYLTRANS-RXN	2.7.7.4	rxn34004
TST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-19040	2.8.1.1	rxn01416
TST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	RXN-19040	2.8.1.1	rxn27322
TST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	THIOSULFATE-SULFURTRANSFERASE-RXN	2.8.1.1	rxn01416
TST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	THIOSULFATE-SULFURTRANSFERASE-RXN	2.8.1.1	rxn27322
MPST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn02229
MPST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn02230
MPST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn03524
MPST	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn32855
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn02229
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn02230
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn03524
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	MERCAPYSTRANS-RXN	2.8.1.2	rxn32855
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	THIOSULFATE-SULFURTRANSFERASE-RXN	2.8.1.1	rxn01416
sseA	gene	K01011_Sulfer metabolism in Cenarchaeota_I.ramosa	THIOSULFATE-SULFURTRANSFERASE-RXN	2.8.1.1	rxn27322
soxB	gene	K17224_Sulfer metabolism in Cenarchaeota_I.ramosa	SARCOX-RXN	1.5.3.1	rxn00433
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn00820
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn05748
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn05896
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn06110
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn09000
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn09001
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn09002
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn12296
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn13732
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn13733
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn14173
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn14358
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn20280
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn26381
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn37454
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn37455
1.7.99.4	EC	nxrAB_Ca.Nitrospira_dfluvii	NA	NA	rxn37456
1.1.1.298	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn16149
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn01451
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03239
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03242
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03244
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03246
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03249
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03287
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03289
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03860
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn04750
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn06037
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn06777
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07680
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07684
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07688
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07883
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn08700
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn15495
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn15510
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn20473
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21061
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21065
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21066
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21572
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn23121
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn23125
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn23153
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn27454
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn30548
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn31677
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn31684
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn31720
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn32645
1.2.1.75	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn00532
1.2.1.76	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn16140
1.3.1.84	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn00668
2.1.3.15	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn05321
2.1.3.15	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn06673
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn00598
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn00676
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn00874
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn02680
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn02804
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03243
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03248
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03288
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn03796
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn05831
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn06510
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07681
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07685
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07689
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07727
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07743
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07880
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn07884
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn08767
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn16680
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn19961
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21062
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21063
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21064
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn21573
2.3.1.16	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle	NA	NA	rxn23126
