Reaction_id_in_ReactionPool	Comments	Equations	PPS_Shan
R00697	D-Glycerate-3-phosphate phosphohydrolase	4.3.1.24; 4.3.1.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00846	dCDP nucleotidohydrolase	1.1.3.21	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00893	dCTP nucleotidohydrolase	1.13.11.20	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00901	L-arogenate:2-oxoglutarate aminotransferase	4.4.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00928	Succinyl-CoA:L-homoserine O-succinyltransferase	2.8.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01182	geranylgeranyl reductase	2.7.1.64	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01267	dTDP phosphohydrolase	4.2.1.65	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01393	hydroxypyruvate carboxy-lyase (glycolaldehyde-forming)	4.1.1.40	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01400	dUTP nucleotidohydrolase		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01667		3.6.1.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01731	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase	2.6.1.57; 2.6.1.78	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01777	O-Succinyl-L-homoserine succinate-lyase (adding cysteine)	2.3.1.46	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02063	L-Aspartate:tRNAAsp ligase (AMP-forming)	1.3.1.83	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02087	L-Asparagine:tRNA(Asn) ligase (AMP-forming)	5.1.3.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02092	L-Glutamate:tRNA(Gln) ligase (AMP-forming)	3.6.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02100	Glutaminyl-tRNA synthetase	3.6.1.19; 3.6.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08218	S-adenosyl-L-methionine:tRNA 5-methylaminomethyl-2-thiouridine methyltransferase	6.1.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02243	NADPH:trypanathione oxidoreductase	4.1.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R03195	"precorrin-3A,NADH:oxygen oxidoreductase (20-hydroxylating)"		add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05217	"2,3-bis-(O-phytany)l-sn-glycerol 1-phosphate:NAD + oxidoreductase"	1.14.13.83	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05555	"CDP-2,3-bis-O-(geranylgeranyl)-sn-glycerol:L-serine 2,3-bis-O-(geranylgeranyl)-sn-glycerol phosphotransferase"	2.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05807	S-adenosylmethioninamine:putrescine 3-aminopropyltransferase	4.99.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R07399		2.3.1.182	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2.5.1.44	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00291	UDPglucose 4-epimerase	5.1.3.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00466	Glyoxylate:oxygen oxidoreductase	1.2.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00489	L-aspartate 1-carboxy-lyase (beta-alanine-forming)	4.1.1.11; 4.1.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00511	cytidine-5'-monophosphate phosphohydrolase	3.1.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00864		non-enzymatic	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00963	5'-nucleotidase (dUMP)	3.1.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01221	glycine synthase	1.4.4.2; 1.8.1.4; 2.1.2.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01339			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01664	2'-deoxycytidine 5'-monophosphate phosphohydrolase	3.1.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01682	3-Sulfo-L-alanine carboxy-lyase (taurine-forming)	4.1.1.15; 4.1.1.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01752	D-Glyceraldehyde:NAD + oxidoreductase	1.2.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01805	N-Acetylneuraminate 9-phosphate phosphohydrolase	3.1.3.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02102	5'-nucleotidase (dUMP)	3.1.3.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02200		2.6.1.32	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02252	phenylpropanoate:NAD + delta2-oxidoreductase	1.3.1.31	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R02706		3.1.3.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R04203	"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD + oxidoreductase"	1.1.1.35; 1.1.1.178	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R05218	"cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase"	1.16.8.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06614	3-cyano-L-alanine carboxy-lyase (3-aminopropiononitrile-forming)	4.1.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R06616			add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R08609		2.5.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00004	diphosphate phosphohydrolase	3.6.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1.2.4.1; 2.2.1.6; 4.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	4.2.1.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00078	Fe(II):oxygenoxidoreductase;Fe2 + :oxygen oxidoreductase	1.16.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00081	Ferrocytochrome-c:oxygen oxidoreductase	1.7.2.1; 1.9.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00082	Ferrocytochrome c2:oxygen oxidoreductase	1.7.2.1; 1.9.3.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	2.5.1.61	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00086	ATP phosphohydrolase	3.6.1.3; 3.6.1.5; 3.6.1.8; 3.6.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00104	ATP:NAD + 2'-phosphotransferase	2.7.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00127	ATP:AMP phosphotransferase	2.7.4.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00137	ATP:nicotinamide-nucleotide adenylyltransferase	2.7.7.1; 2.7.7.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00145	alpha-amino acid:NAD + oxidoreductase (deaminating)	1.4.1.1; 1.4.1.2; 1.4.1.3; 1.4.1.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00156	ATP:UDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00158	ATP:UMP phosphotransferase	2.7.4.4; 2.7.4.14; 2.7.4.22	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00177	ATP:L-methionine S-adenosyltransferase	2.5.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00189	deamido-NAD + :ammonia ligase (AMP-forming)	6.3.1.5; 6.3.5.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00190	AMP:diphosphate phospho-D-ribosyltransferase	2.4.2.7; 2.4.2.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00192	S-Adenosyl-L-homocysteine hydrolase	3.3.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00206	"ATP:pyruvate,phosphate phosphotransferase"	2.7.9.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00220	L-serine ammonia-lyase	4.3.1.17; 4.3.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00226	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2.2.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00235	Acetate:CoA ligase (AMP-forming)	6.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00236	acetyl adenylate:CoA acetyltransferase	6.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00243	L-glutamate:NAD + oxidoreductase (deaminating)	1.4.1.2; 1.4.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00253	L-Glutamate:ammonia ligase (ADP-forming)	6.3.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00256	L-glutamine amidohydrolase	3.5.1.2; 3.5.1.38; 6.3.5.4; 6.3.5.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00260	glutamate racemase	5.1.1.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00267	Isocitrate:NADP + oxidoreductase (decarboxylating)	1.1.1.42	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00275	superoxide:superoxide oxidoreductase	1.15.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00316	ATP:acetate adenylyltransferase	6.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00317	Acetyl phosphate phosphohydrolase	3.6.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00330	ATP:GDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00331	ATP:nucleoside-diphosphate phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00335	GTP phosphohydrolase	3.6.1.5; 3.6.5.1; 3.6.5.2; 3.6.5.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00341	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	4.1.1.49	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00342	(S)-malate:NAD + oxidoreductase	1.1.1.37; 1.1.1.299	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	2.3.3.1; 2.3.3.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00354	(3S)-citryl-CoA oxaloacetate-lyase (acetyl-CoA-forming)	4.1.3.34	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00355	L-Aspartate:2-oxoglutarate aminotransferase	2.6.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00362	citrate oxaloacetate-lyase (forming acetate from the pro-S carboxymethyl group of citrate)	4.1.3.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00371	Acetyl-CoA:glycine C-acetyltransferase	2.3.1.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00380	S-Adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase	2.1.1.37	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00405	Succinate:CoA ligase (ADP-forming)	6.2.1.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00408	succinate:FAD oxidoreductase	1.3.99.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00412	succinate:acceptor oxidoreductase	1.3.99.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00424	"GTP 7,8-8,9-dihydrolase"	3.5.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00428	"GTP 7,8-8,9-dihydrolase"	3.5.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00480	ATP:L-aspartate 4-phosphotransferase	2.7.2.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00483	L-aspartate:ammonia ligase (AMP-forming)	6.3.1.1; 6.3.5.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00490	L-aspartate ammonia-lyase (fumarate-forming)	3.5.1.38; 4.3.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00494	glutathione gamma-glutamylaminopeptidase	2.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00509	ATP:adenylylsulfate 3'-phosphotransferase	2.7.1.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00512	ATP:CMP phosphotransferase	2.7.4.14; 2.7.4.25	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00529	ATP:sulfate adenylyltransferase	2.7.7.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00539	Acyl phosphate phosphohydrolase	3.6.1.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00566	L-arginine carboxy-lyase (agmatine-forming)	4.1.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00570	ATP:CDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00571	UTP:ammonia ligase (ADP-forming)	6.3.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00573	UTP:L-glutamine amido-ligase (ADP-forming)	6.3.4.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00575	"HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)"	6.3.5.5	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00578	L-aspartate:L-glutamine amido-ligase (AMP-forming)	6.3.5.4	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00582	O-phospho-L-serine phosphohydrolase	3.1.3.3	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00596	S-adenosyl-L-methionine:tRNA adenine N1-methyltransferase	2.1.1.36	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00598	S-Adenosyl-L-methionine:tRNA guanine N2-methyltransferase	2.1.1.32	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00615	Thiamin diphosphate phosphohydrolase	3.6.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00617	ATP:thiamin-phosphate phosphotransferase	2.7.4.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00623	primary alcohol:NAD + oxidoreductase	1.1.1.1; 1.1.1.71	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00624	Secondary alcohol:NAD + oxidoreductase	1.1.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00658	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)	4.2.1.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00661	"phosphoenolpyruvate 2,3-phosphonomutase"	5.4.2.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00674	L-serine hydro-lyase (adding indole; L-tryptophan-forming)	4.2.1.20; 4.2.1.122	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00691	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)	4.2.1.51; 4.2.1.91	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00694	L-Phenylalanine:2-oxoglutarate aminotransferase	2.6.1.1; 2.6.1.5; 2.6.1.9; 2.6.1.57	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00713	succinate-semialdehyde:NAD + oxidoreductase	1.2.1.16; 1.2.1.24	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00714	succinate-semialdehyde:NADP + oxidoreductase	1.2.1.16; 1.2.1.79	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00717	Glycolate:NAD + oxidoreductase	1.1.1.26; 1.1.1.29	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00722	ATP:IDP phosphotransferase	2.7.4.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00734	L-tyrosine:2-oxoglutarate aminotransferase	2.6.1.1; 2.6.1.5; 2.6.1.9; 2.6.1.57	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00750	4-hydroxy-2-oxopentanoate pyruvate-lyase (acetaldehyde-forming)	4.1.3.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00754	ethanol:NAD + oxidoreductase	1.1.1.1; 1.1.1.71	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00762	"D-Fructose-1,6-bisphosphate 1-phosphohydrolase"	3.1.3.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00765	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing)	3.5.99.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00768	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)	2.6.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00771	D-glucose-6-phosphate aldose-ketose-isomerase	5.3.1.9	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00772	D-mannose-6-phosphate aldose-ketose-isomerase	5.3.1.8	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00856	CTP:sn-glycerol-3-phosphate cytidylyltransferase	2.7.7.39	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00858	hydrogen-sulfide:NADP + oxidoreductase	1.8.1.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00875	D-Glucitol:NAD + 2-oxidoreductase	1.1.1.14; 1.1.1.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00885	GTP:alpha-D-mannose-1-phosphate guanylyltransferase	2.7.7.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00888	"GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)"	4.2.1.47	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00896	L-cysteine:2-oxoglutarate aminotransferase	2.6.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00897	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase	2.5.1.47; 2.5.1.65	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00899	L-cysteinylglycine dipeptidase	3.4.11.1; 3.4.11.2; 3.4.11.23; 3.4.13.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00900	"L-cysteine,glutathione:NADP + oxidoreductase (disulfide-forming)"	1.8.1.9; 1.8.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00925	Propanoate:CoA ligase (AMP-forming)	6.2.1.1; 6.2.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00926	Propionyladenylate:CoA propionyltransferase	6.2.1.1; 6.2.1.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00927	acetyl-CoA:propanoyl-CoA 2-C-acetyltransferase	2.3.1.9; 2.3.1.16	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00944	10-Formyltetrahydrofolate amidohydrolase	3.5.1.10	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00945	"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase"	2.1.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00946	5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase	2.1.1.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00955	UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase	2.7.7.12	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00965	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	4.1.1.23	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00985	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	4.1.3.27	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00986	Chorismate pyruvate-lyase (amino-accepting)	4.1.3.27	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00994	"(2R,3S)-3-methylmalate:NAD + oxidoreductase"	1.1.1.85	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R00996	L-threonine ammonia-lyase (2-oxobutanoate-forming)	4.3.1.19	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01007	UDP-N-acetyl-D-glucosamine:dolichyl-phosphate N-acetyl-D-glucosamine phosphotransferase	2.7.8.15	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01009	GDPmannose:dolichyl-phosphate O-beta-D-mannosyltransferase	2.4.1.83	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01015	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	5.3.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01049	ATP:D-ribose-5-phosphate diphosphotransferase	2.7.6.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01054	ADP-ribose ribophosphohydrolase	3.6.1.13; 3.6.1.21; 3.6.1.53; 3.6.1.-	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01056	D-ribose-5-phosphate aldose-ketose-isomerase	5.3.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01057	"D-Ribose 1,5-phosphomutase"	5.4.2.2; 5.4.2.7	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01061	D-glyceraldehyde-3-phosphate:NAD + oxidoreductase (phosphorylating)	1.2.1.12; 1.2.1.59	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01067	D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase	2.2.1.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01068	"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)"	4.1.2.13	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01071	1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase	2.4.2.17	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01072	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)	2.4.2.14	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01073	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase	2.4.2.18	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01074	biotin:CoA ligase (AMP-forming)	6.2.1.11; 6.3.4.9; 6.3.4.10; 6.3.4.11	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01078	dethiobiotin:sulfur sulfurtransferase	2.8.1.6	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01083	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)"	4.3.2.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01086	2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)	4.3.2.1	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01090	L-Leucine:2-oxoglutarate aminotransferase	2.6.1.6; 2.6.1.42; 2.6.1.67	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01123	Isopentenyl-diphosphate delta3-delta2-isomerase	5.3.3.2	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
R01130	IMP:NAD + oxidoreductase	1.1.1.205	add ALL reactions from Li2018SCM1 to the base-draft model (on25/03/2021)
