pwy_id	pwy_name	rxn_id	EC_num	blast_result	blast_result_score	pwy_completeness
ARGASEDEG-PWY	 L-arginine degradation I (arginase pathway) with 3 reactions	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	2.6.1.13	Blast hit (4x)	2	
ARGASEDEG-PWY	 L-arginine degradation I (arginase pathway) with 3 reactions	RXN-14116	1.2.1.88	NO blast hit	-2	2/3 (66%)
ARGDEG-III-PWY	 L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway) with 3 reactions	ARGDECARBOX-RXN	4.1.1.19	Blast hit (4x)	2	
ARGDEG-III-PWY	 L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway) with 3 reactions	AGMATINE-DEIMINASE-RXN	3.5.3.12	NO blast hit	-2	
ARGDEG-III-PWY	 L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway) with 3 reactions	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN	3.5.1.53	Blast hit (4x)	2	2/3 (66%)
ARGDEG-IV-PWY	 L-arginine degradation VIII (arginine oxidase pathway) with 4 reactions	ARG-OXIDATION-RXN	1.4.3.25	NO sequence data found	0.5	
ARGDEG-IV-PWY	 L-arginine degradation VIII (arginine oxidase pathway) with 4 reactions	GUANIDINOBUTYRASE-RXN	3.5.3.7	Blast hit (4x)	2	
ARGDEG-IV-PWY	 L-arginine degradation VIII (arginine oxidase pathway) with 4 reactions	1.2.1.54-RXN	1.2.1.54	NO sequence data found	0.5	
ARGDEG-IV-PWY	 L-arginine degradation VIII (arginine oxidase pathway) with 4 reactions	4.1.1.75-RXN	4.1.1.75	Blast hit (4x)	2	2/4 (50%)
ARGDEG-V-PWY	 L-arginine degradation X (arginine monooxygenase pathway) with 3 reactions	GUANIDINOBUTANAMIDE-NH3-RXN	3.5.1.4	Blast hit (4x)	2	
ARGDEG-V-PWY	 L-arginine degradation X (arginine monooxygenase pathway) with 3 reactions	GUANIDINOBUTYRASE-RXN	3.5.3.7	Blast hit (4x)	2	
ARGDEG-V-PWY	 L-arginine degradation X (arginine monooxygenase pathway) with 3 reactions	ARGININE-2-MONOOXYGENASE-RXN	1.13.12.1	NO sequence data found	0.5	2/3 (66%)
ARG-GLU-PWY	 L-arginine degradation VII (arginase 3 pathway) with 2 reactions	ORNITHINE-CYCLODEAMINASE-RXN	4.3.1.12	NO blast hit	-2	
ARG-GLU-PWY	 L-arginine degradation VII (arginase 3 pathway) with 2 reactions	ARGINASE-RXN	3.5.3.1	Blast hit (4x)	2	1/2 (50%)
ARGININE-SYN4-PWY	 L-ornithine biosynthesis II with 4 reactions	GLUTAMATE-DEHYDROGENASE-NADP+-RXN	1.4.1.3	Blast hit (4x)	2	
ARGININE-SYN4-PWY	 L-ornithine biosynthesis II with 4 reactions	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	2.6.1.13	Blast hit (4x)	2	
ARGININE-SYN4-PWY	 L-ornithine biosynthesis II with 4 reactions	GLUTKIN-RXN	2.7.2.11	NO blast hit	-2	
ARGININE-SYN4-PWY	 L-ornithine biosynthesis II with 4 reactions	GLUTSEMIALDEHYDROG-RXN	1.2.1.41	NO blast hit	-2	2/4 (50%)
ARG-PRO-PWY	 L-arginine degradation VI (arginase 2 pathway) with 4 reactions	PYRROLINECARBREDUCT-RXN	1.5.1.2	NO blast hit	-2	
ARG-PRO-PWY	 L-arginine degradation VI (arginase 2 pathway) with 4 reactions	ORNITHINE-GLU-AMINOTRANSFERASE-RXN	2.6.1.13	Blast hit (4x)	2	
ARG-PRO-PWY	 L-arginine degradation VI (arginase 2 pathway) with 4 reactions	ARGINASE-RXN	3.5.3.1	Blast hit (4x)	2	
ARG-PRO-PWY	 L-arginine degradation VI (arginase 2 pathway) with 4 reactions	SPONTPRO-RXN		--> Spontaneous reaction <--	2	2/3 (66%)
ARGSPECAT-PWY	 spermine biosynthesis with 2 reactions	SPERMINE-SYNTHASE-RXN	2.5.1.22	NO blast hit	-2	
ARGSPECAT-PWY	 spermine biosynthesis with 2 reactions	SAMDECARB-RXN	4.1.1.50	NO blast hit	-2	0/2 (0%)
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	ARGSUCCINSYN-RXN	6.3.4.5	Blast hit (12x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	ARGSUCCINLYA-RXN	4.3.2.1	Blast hit (12x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	ORNCARBAMTRANSFER-RXN	2.1.3.3	Blast hit (16x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	ACETYLORNTRANSAM-RXN	2.6.1.11	Blast hit (16x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	N-ACETYLGLUTPREDUCT-RXN	1.2.1.38	Blast hit (8x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	ACETYLGLUTKIN-RXN	2.7.2.8	Blast hit (8x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	GLUTAMATE-N-ACETYLTRANSFERASE-RXN	2.3.1.35	NO blast hit	-2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	CARBPSYN-RXN	6.3.5.5	Blast hit (16x)	2	
ARGSYNBSUB-PWY	 L-arginine biosynthesis II (acetyl cycle) with 9 reactions	N-ACETYLTRANSFER-RXN	2.3.1.1	NO blast hit	-2	7/9 (77%)
ASPARAGINE-BIOSYNTHESIS	 L-asparagine biosynthesis I with 1 reactions	ASNSYNB-RXN	6.3.5.4	NO blast hit	-2	0/1 (0%)
ASPARAGINE-DEG1-PWY-1	 L-asparagine degradation III (mammalian) with 4 reactions	ASPARAGHYD-RXN	3.5.1.38	NO blast hit	-2	
ASPARAGINE-DEG1-PWY-1	 L-asparagine degradation III (mammalian) with 4 reactions	ASPARAGHYD-RXN	3.5.1.1	NO blast hit	-2	
ASPARAGINE-DEG1-PWY-1	 L-asparagine degradation III (mammalian) with 4 reactions	3.5.1.26-RXN	3.5.1.26	NO blast hit	-2	
ASPARAGINE-DEG1-PWY-1	 L-asparagine degradation III (mammalian) with 4 reactions	ASPAMINOTRANS-RXN	2.6.1.1	Blast hit (8x)	2	1/4 (25%)
ASPARAGINE-DEG1-PWY	 L-asparagine degradation I with 2 reactions	ASPARAGHYD-RXN	3.5.1.38	NO blast hit	-2	
ASPARAGINE-DEG1-PWY	 L-asparagine degradation I with 2 reactions	ASPARAGHYD-RXN	3.5.1.1	NO blast hit	-2	0/2 (0%)
ASPARAGINESYN-PWY	 L-asparagine biosynthesis II with 1 reactions	ASNSYNA-RXN	6.3.1.1	Blast hit (4x)	2	1/1 (100%)
ASPARTATE-DEG1-PWY	 L-aspartate degradation I with 1 reactions	ASPAMINOTRANS-RXN	2.6.1.1	Blast hit (8x)	2	1/1 (100%)
ASPARTATESYN-PWY	 L-aspartate biosynthesis with 1 reactions	ASPAMINOTRANS-RXN	2.6.1.1	Blast hit (8x)	2	1/1 (100%)
ASPSYNII-PWY	 cyanide detoxification I with 3 reactions	L-3-CYANOALANINE-SYNTHASE-RXN	4.4.1.9	NO sequence data found	0.5	
ASPSYNII-PWY	 cyanide detoxification I with 3 reactions	3-CYANOALANINE-HYDRATASE-RXN	4.2.1.65	NO sequence data found	0.5	
ASPSYNII-PWY	 cyanide detoxification I with 3 reactions	3.5.5.4-RXN	3.5.5.4	NO sequence data found	0.5	0/3 (0%)
AST-PWY	 L-arginine degradation II (AST pathway) with 5 reactions	ARGININE-N-SUCCINYLTRANSFERASE-RXN	2.3.1.109	NO good blast hit	1	
AST-PWY	 L-arginine degradation II (AST pathway) with 5 reactions	SUCCARGDIHYDRO-RXN	3.5.3.23	NO blast hit	-2	
AST-PWY	 L-arginine degradation II (AST pathway) with 5 reactions	SUCCORNTRANSAM-RXN	2.6.1.81	NO sequence data found	0.5	
AST-PWY	 L-arginine degradation II (AST pathway) with 5 reactions	SUCCGLUALDDEHYD-RXN	1.2.1.71	NO blast hit	-2	
AST-PWY	 L-arginine degradation II (AST pathway) with 5 reactions	SUCCGLUDESUCC-RXN	3.5.1.96	NO good blast hit	1	(0+1)/5 (20%) with 1 reactions of unclear state
BETA-ALA-DEGRADATION-I-PWY	 &beta;-alanine degradation I with 2 reactions	RXN-2901	2.6.1.ak	NO sequence data found	0.5	
BETA-ALA-DEGRADATION-I-PWY	 &beta;-alanine degradation I with 2 reactions	RXN-2902	1.2.1.18	NO blast hit	-2	0/2 (0%)
BETSYN-PWY	 glycine betaine biosynthesis I (Gram-negative bacteria) with 2 reactions	CHD-RXN	1.1.99.1	NO blast hit	-2	
BETSYN-PWY	 glycine betaine biosynthesis I (Gram-negative bacteria) with 2 reactions	BADH-RXN	1.2.1.8	NO blast hit	-2	0/2 (0%)
BGALACT-PWY	 lactose degradation III with 1 reactions	BETAGALACTOSID-RXN	3.2.1.108	NO sequence data found	0.5	0/1 (0%)
BSUBPOLYAMSYN-PWY	 spermidine biosynthesis I with 2 reactions	SPERMIDINESYN-RXN	2.5.1.16	NO blast hit	-2	
BSUBPOLYAMSYN-PWY	 spermidine biosynthesis I with 2 reactions	SAMDECARB-RXN	4.1.1.50	NO blast hit	-2	0/2 (0%)
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	4.1.1.39	NO blast hit	-2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	PHOSGLYPHOS-RXN	2.7.2.3	Blast hit (12x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	1.2.1.13-RXN	1.2.1.13	Blast hit (12x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	TRIOSEPISOMERIZATION-RXN	5.3.1.1	Blast hit (11x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	F16ALDOLASE-RXN	4.1.2.13	Blast hit (3x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	SEDOBISALDOL-RXN	4.1.2.13	Blast hit (3x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	F16BDEPHOS-RXN	3.1.3.11	Blast hit (3x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	1TRANSKETO-RXN	2.2.1.1	Blast hit (4x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	2TRANSKETO-RXN	2.2.1.1	Blast hit (4x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	SEDOHEPTULOSE-BISPHOSPHATASE-RXN	3.1.3.37	NO sequence data found	0.5	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	RIBULP3EPIM-RXN	5.1.3.1	Blast hit (4x)	2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	PHOSPHORIBULOKINASE-RXN	2.7.1.19	NO blast hit	-2	
CALVIN-PWY	 Calvin-Benson-Bassham cycle with 13 reactions	RIB5PISOM-RXN	5.3.1.6	Blast hit (4x)	2	(10+1)/13 (84%) with 1 reactions of unclear state
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-8275	1.14.19.52	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-11663	2.5.1.18	NO blast hit	-2	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-11664	3.4.19.16	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-11665	3.4.13.23	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-11666	1.14.19.52	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-12061	1.14.14.156	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-12062	1.14.14.156	NO sequence data found	0.5	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-12063	1.14.14.156	--> Spontaneous reaction <--	2	
CAMALEXIN-SYN	 camalexin biosynthesis with 12 reactions	RXN-19840		NO sequence data found	0.5	
