		sol$fluxes	cpd00002[c0]	cpd00002[e0]
rxn01220_c0	ATP:deoxycitidine 5'-phosphotransferase	6.57737753151366e-14	-1	0
rxn01300_c0	ATP:L-homoserine O-phosphotransferase	0.160933088642423	-1	0
rxn01353_c0	ATP:dGDP phosphotransferase	0.00793943440351086	-1	0
rxn01434_c0	L-Citrulline:L-aspartate ligase (AMP-forming)	0.0874704021441902	-1	0
rxn01512_c0	ATP:dTDP phosphotransferase	0.0119880343580689	-1	0
rxn01513_c0	ATP:dTMP phosphotransferase	0.00768937347743304	-1	0
rxn01517_c0	ATP:dUMP phosphotransferase	-0.00768937347754672	-1	0
rxn01603_c0	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)	0.00368841452551605	-1	0
rxn01673_c0	ATP:dCDP phosphotransferase	0.00793943440351086	-1	0
rxn01731_c0	Itaconate:CoA ligase (ADP-forming)	1000	-1	0
rxn01739_c0	ATP:shikimate 3-phosphotransferase	0.116061422262192	-1	0
rxn01791_c0	(R)-Pantoate:beta-alanine ligase (AMP-forming)	0.00245894301699604	-1	0
rxn02008_c0	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)	0.00429866088064423	-1	0
rxn02011_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)	0.00429866088064423	-1	0
rxn02155_c0	ATP:nicotinamide-nucleotide adenylyltransferase	0.0024589430170181	-1	0
rxn02175_c0	ATP:pantetheine-4'-phosphate adenylyltransferase	0.0024589430170181	-1	0
rxn02286_c0	UDP-N-acetylmuramate:L-alanine ligase (ADP-forming)	0.00429866088064423	-1	0
rxn02895_c0	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	0.145286120998048	-1	0
rxn02937_c0	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	0.145286120998048	-1	0
rxn03084_c0	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)	0.145286120998048	-1	0
rxn03108_c0	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase	0.00122947150850905	-1	0
rxn03147_c0	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	0.14405664948955	-1	0
rxn03164_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)	0.00429866088064423	-1	0
rxn03181_c0	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase	0.00429866088060862	-1	0
rxn03908_c0	ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase	0.0472852696866948	-1	0
rxn03916_c0	ATP:D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	0.0171946435225436	-1	0
rxn03918_c0	ATP:D-glycero-beta-D-manno-heptose 7-phosphate 1-phosphotransferase	0.0171946435225436	-1	0
rxn05029_c0	ATP:cobinamide Cobeta-adenosyltransferase	0.00122947150850905	-1	0
rxn05145_c0	phosphate-transporting ATPase	0.313411356523257	-1	0
rxn05148_c0	Heme transport via ABC system	1.99918206988947e-14	-1	0
rxn05149_c0	ABC-type manganese permease complex	0.00227233693052273	-1	0
rxn05172_c0	ATP phosphohydrolase (taurine-importing)	100	-1	0
rxn05251_c0	FACOAL170(anteiso)	0.025929687992857	-1	0
rxn05252_c0	FACOAL170(ISO)	0.025929687992857	-1	0
rxn05555_c0	iron (II) transport via ABC system	0.00700361687805655	-1	0
rxn08020_c0	laurate-[acyl-carrier-protein] ligase	0.0214933044030431	-1	0
rxn08173_c0	F(1)-ATPase	232.220572494433	1	0
rxn12510_c0	ATP:pantothenate 4'-phosphotransferase	0.00245894301699604	-1	0
rxn15108_c0	ATP:D-ribose-5-phosphate diphosphotransferase	0.238739991326452	-1	0
rxn16218_c0	(R)-4-phosphopantoate:beta-alanine ligase (AMP-forming)	2.2063947890949e-14	-1	0
rxn25839_c0	ATP:[ThiS] adenylyltransferase	0.00122947150849801	-1	0
rxn90055_c0	Na+ F1FO ATP synthase	4.2632564145606e-14	1	0
rxn08708_c0	LPS heptose kinase I (LPS core synthesis)	0.00429866088060862	-1	0
rxn08709_c0	LPS heptose kinase II (LPS core synthesis)	0.00429866088060862	-1	0
rxn10053_c0	phosphoribosylaminoimidazole carboxylase (ATP-dependent)	0.14405664948955	-1	0
