		sol$fluxes	cpd00004[c0]
rxn02209_c0	(R)-Propane-1,2-diol:NAD+ oxidoreductase	1000	1
rxn02226_c0	L-2-Aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase	999.89852188221	1
rxn02364_c0	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	1
rxn02383_c0	20alpha-hydroxy steroid dehydrogenase	1000	1
rxn02385_c0	17alpha-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1
rxn02392_c0	4-hydroxyphenyllactate:NAD+ oxidoreductase	1000	1
rxn02393_c0	(R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidoreductase	1000	1
rxn02774_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	0.00122947150851554	1
rxn02905_c0	21-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1
rxn02928_c0	2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase	-0.00429866088060862	1
rxn02933_c0	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	999.974070312007	1
rxn02939_c0	4-phospho-D-erythronate:NAD+ 2-oxidoreductase	0.00122947150850905	1
rxn03071_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase	-1000	1
rxn03112_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+ 15-oxidoreductase	1000	1
rxn03198_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	1000	-1
rxn03200_c0	Estriol:NAD+ 17-oxidoreductase	1000	1
rxn03239_c0	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	-0.025929687992857	1
rxn03242_c0	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase	-0.0517216532765588	1
rxn03244_c0	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	-0.0517216532765588	1
rxn03246_c0	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase	-0.0517216532765588	1
rxn03249_c0	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	-0.0517216532765588	1
rxn03255_c0	short-chain dehydrogenase/reductase (SDR) family protein	-1000	1
rxn03309_c0	short-chain dehydrogenase/reductase (SDR) family protein	-1000	1
rxn03317_c0	11-Deoxycortisol delta5-delat4-isomerase	1000	-1
rxn03324_c0	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	0.101478117790293	1
rxn03335_c0	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	1000	1
rxn03340_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	1
rxn03343_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	1000	1
rxn03622_c0	pimeloyl-CoA:NAD+ oxidoreductase	7.3547938572727e-15	1
rxn03981_c0	mycothiol:NAD+ oxidoreductase	1000	1
rxn04662_c0	shikimate:NAD+ 3-oxidoreductase	-1000	1
rxn04954_c0	5-methyltetrahydrofolate:NAD+ oxidoreductase	-0.0503651412405995	1
rxn05142_c0	sinapoyl aldehyde:NAD oxidoreductase	1000	1
rxn05293_c0	2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	0.0472852696866948	-1
rxn06071_c0	rubredoxin:NAD+ oxidoreductase	-1000	1
rxn06252_c0	Alditol:NAD+ 1-oxidoreductase	-1000	1
rxn06525_c0	protein-dithiol:NAD+ oxidoreductase	-1000	1
rxn06777_c0	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	-0.0302283488734656	1
rxn07482_c0	3-hydroxybenzaldehyde:NAD+ oxidoreductase	-1000	1
rxn08386_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	1000	-1
rxn08390_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	1000	-1
rxn08392_c0	trans hexadecenoyl-[acp] reductase	1000	-1
rxn08394_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	1000	-1
rxn08398_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	1000	-1
rxn08972_c0	NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)	-94.8693769616427	-1
rxn09071_c0	pyridoxine 5'-phosphate oxidase (anaerboic	0.00122947150850905	1
rxn09896_c0	isoleucine dehydrogenase	-0.0859139892945677	1
rxn10432_c0	R08198	1000	1
rxn10770_c0	R08557	1000	1
rxn11245_c0	RXN-13158.c	0.159158627913545	1
rxn11551_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn11663_c0	4-(phosphonooxy)threonine:NAD oxidoreductase	0.001229471508498	1
rxn11732_c0	R08198	-1000	1
rxn11810_c0	carboxyphosphamide:NAD+ oxidoreductase	1000	1
rxn12681_c0	Vanillin: NAD oxidoreductase (34dhbald)	-1.13686837721616e-13	1
rxn12781_c0	RXN-8583.c	-1000	1
rxn12782_c0	RXN-8582.c	-1000	1
rxn13419_c0	3-hydroxy-2-methylbutyryl-CoA-dehydrogenase	-1000	1
rxn13727_c0	NADH dehydrogenase (menaquinone-7 & 4 protons)	173.004622124269	-1
rxn14007_c0	11beta,17beta-dihydroxy-4-androsten-3-one:NAD+ 17-oxidoreductase	-1000	1
rxn15122_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn15123_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn15185_c0	D-xylose:NAD+ 1-oxidoreductase	-1000	1
rxn15238_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1
rxn15239_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1
rxn15317_c0	(S)-Propane-1,2-diol:NAD+ oxidoreductase	-1000	1
rxn15341_c0	Lactaldehyde:NAD+ 1-oxidoreductase	1000	1
rxn15999_c0	2,4-dichloro-3-oxoadipate:NAD+ oxidoreductase	1000	-2
rxn38972_c0	RXN-6903.m.chlamyexp.NAD_NADH	-1000	-1
rxn90001_c0	Butyryl-CoA dehydrogenase (Etf complex)	0.0517216532765087	-2
rxn08131_c0	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	0.00122947150849801	1
