		sol$fluxes	cpd00005[c0]
rxn01975_c0	beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase	-1000	1
rxn02040_c0	Cortisol delta5-delat4-isomerase	-1000	-1
rxn02049_c0	R02856	-1000	1
rxn02103_c0	(S)-Ureidoglycolate:NADP+ oxidoreductase	-1000	1
rxn02186_c0	2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	0.286753164033618	-1
rxn02227_c0	L-2-Aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase	-1000	1
rxn02285_c0	UDP-N-acetylmuramate:NADP+ oxidoreductase	-0.00429866088064423	1
rxn02365_c0	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
rxn02373_c0	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	-0.155298684841933	1
rxn02384_c0	17alpha,20alpha-Dihydroxypregn-4-en-3-one:NADP+ 20-oxidoreductase	-1000	1
rxn02386_c0	17alpha-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1
rxn02394_c0	4-Hydroxyphenyllactate:NADP+ oxidoreductase	-1000	1
rxn02395_c0	(R)-3-(4-hydroxyphenyl)lactate:NADP+ 2-oxidoreductase	-1000	1
rxn02474_c0	5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase	-0.0024589430170181	1
rxn02758_c0	Sinapyl alcohol:NADP+ oxidoreductase	1000	-1
rxn02906_c0	21-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1
rxn02985_c0	6-Lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase	-1000	1
rxn03068_c0	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	0.286753164033598	1
rxn03072_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	1000	1
rxn03113_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+ 15-oxidoreductase	-1000	1
rxn03199_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	-1000	-1
rxn03201_c0	Estriol:NADP+ 17-oxidoreductase	-1000	1
rxn03256_c0	11beta-Hydroxyandrost-4-ene-3,17-dione:NADP+ 11-oxidoreductase	1000	1
rxn03310_c0	Tetrahydrocorticosterone:NADP+ 11-oxidoreductase	1000	1
rxn03319_c0	11-Deoxycortisol delta5-delat4-isomerase	-1000	-1
rxn03336_c0	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	-1000	1
rxn03341_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	1
rxn03344_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	-1000	1
rxn03435_c0	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)	-1000	1
rxn03601_c0	p-Methylbenzaldehyde:NADP+ oxidoreductase	1000	1
rxn03861_c0	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	-0.0517216532765087	1
rxn03935_c0	R05664	1000	1
rxn03958_c0	1-Deoxy-D-xylulose-5-phosphate isomeroreductase	-0.0472852696866539	1
rxn03982_c0	mycothiol:NADP+ oxidoreductase	-1000	1
rxn04113_c0	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	0.0472852696866948	-1
rxn04424_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1
rxn04425_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1
rxn04661_c0	L-quinate:NADP+ 3-oxidoreductase	-1000	1
rxn05143_c0	sinapoyl aldehyde:NADP oxidoreductase	-1000	1
rxn05289_c0	NADPH:oxidized-thioredoxin oxidoreductase	0.0312576157619043	-1
rxn05342_c0	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	-0.0171946435224299	1
rxn06072_c0	Reduced rubredoxin:NADP+ oxidoreductase	1000	1
rxn06253_c0	Alditol:NADP+ 1-oxidoreductase	1000	1
rxn06526_c0	protein-dithiol:NADP+ oxidoreductase	1000	1
rxn07481_c0	3-hydroxybenzaldehyde:NADP+ oxidoreductase	1000	1
rxn08387_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1)	-1000	-1
rxn08391_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1)	-1000	-1
rxn08393_c0	trans hexadecenoyl-[acp] reductase (NADPH, B-specific)	-1000	-1
rxn08395_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1)	-1000	-1
rxn08399_c0	enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1)	-1000	-1
rxn08764_c0	ketol-acid reductoisomerase (2-Acetolactate)	-999.914086010705	-1
rxn09882_c0	RXN-5581.c.metaexp.NADP_NADPH	-1000	1
rxn11552_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn11742_c0	R08208	1000	2
rxn11811_c0	carboxyphosphamide:NADP+ oxidoreductase	-1000	1
rxn12191_c0	R08558	-1000	1
rxn14276_c0	11beta,17beta-dihydroxy-4-androsten-3-one:NADP+ 17-oxidoreductase	1000	1
rxn15023_c0	Isocitrate:NADP+ oxidoreductase (decarboxylating)	93.0915675092465	1
rxn15025_c0	D-Glucose:NADP+ 1-oxidoreductase	-1000	1
rxn15072_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	0.0214933044030658	1
rxn15126_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn15127_c0	galactitol:NADP+ 1-oxidoreductase	-1000	-1
rxn15189_c0	xylitol:NADP+ oxidoreductase	-1000	1
rxn15240_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn15241_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1
rxn15278_c0	Isocitrate:NADP+ oxidoreductase	-1000	1
rxn15345_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	1000	1
rxn15346_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	-1000	1
rxn15466_c0	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	-0.286753164033598	1
rxn15662_c0	D-glucose:NADP+ 1-oxidoreductase	-1000	1
rxn16000_c0	2,4-dichloro-3-oxoadipate:NADP+ oxidoreductase	-1000	-2
rxn38971_c0	RXN-6903.m.chlamyexp.NADP_NADPH	-1000	1
rxn05275_c0	b-ketoacyl synthetase (Iso-C17:0)	0.025929687992857	-12
rxn05276_c0	b-ketoacyl synthetase (Anteiso-C17:0)	0.025929687992857	-12
rxn09427_c0	fatty-acyl-CoA synthase (n-C18:0CoA)	0.025929687992857	-2
rxn15874_c0	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase (3,5-epimerizing)	-0.00429866088052222	1
rxn15947_c0	carboxyspermidine:NADP+ oxidoreductase	0.00122947150850905	-1
