Key	Type	Reactions	MetaCyc	EC	MSID	Rid	met_id	met_name	met_Scoef	met_comp	react_id	react_name	react_rev	lowbnd	uppbnd
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03249	rxn03249_Shan	"cpd00003[c0],cpd03122[c0],cpd00004[c0],cpd00067[c0],cpd03123[c0]"	"NAD[c0],(S)-Hydroxyhexanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxohexanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03249	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03287	rxn03287_Shan	"cpd00003[c0],cpd03231[c0],cpd00004[c0],cpd00067[c0],cpd03232[c0]"	"NAD[c0],3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA[c0],NADH[c0],H+[c0],3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03287	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03289	rxn03289_Shan	"cpd00003[c0],cpd03233[c0],cpd00004[c0],cpd00067[c0],cpd03248[c0]"	"NAD[c0],3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA[c0],NADH[c0],H+[c0],3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03289	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03860	rxn03860_Shan	"cpd00003[c0],cpd06711[c0],cpd00004[c0],cpd00067[c0],cpd06712[c0]"	"NAD[c0],(Hydroxymethylphenyl)succinyl-CoA[c0],NADH[c0],H+[c0],Benzoylsuccinyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn03860	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn04750	rxn04750_Shan	"cpd00003[c0],cpd09844[c0],cpd00004[c0],cpd00067[c0],cpd01507[c0]"	"NAD[c0],(3S)-3-Hydroxyadipyl-CoA[c0],NADH[c0],H+[c0],3-Oxoadipyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn04750	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	TRUE	-1000	0
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn06037	rxn06037_Shan	"cpd00003[c0],cpd11718[c0],cpd00004[c0],cpd00067[c0],cpd11637[c0]"	"NAD[c0],(S)-3-Hydroxyacyl-CoA[c0],NADH[c0],H+[c0],3-Oxoacyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn06037	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn06777	rxn06777_Shan	"cpd00003[c0],cpd03115[c0],cpd00004[c0],cpd00067[c0],cpd12689[c0]"	"NAD[c0],(S)-3-Hydroxytetradecanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxotetradecanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn06777	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	0
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07680	rxn07680_Shan	"cpd00003[c0],cpd15045[c0],cpd00004[c0],cpd00067[c0],cpd15046[c0]"	"NAD[c0],3-Hydroxy-OPC8-CoA[c0],NADH[c0],H+[c0],3-Oxo-OPC8-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn07680	R07890	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07684	rxn07684_Shan	"cpd00003[c0],cpd15049[c0],cpd00004[c0],cpd00067[c0],cpd15050[c0]"	"NAD[c0],3-Hydroxy-OPC6-CoA[c0],NADH[c0],H+[c0],3-Oxo-OPC6-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn07684	R07894	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07688	rxn07688_Shan	"cpd00003[c0],cpd15053[c0],cpd00004[c0],cpd00067[c0],cpd15054[c0]"	"NAD[c0],3-Hydroxy-OPC4-CoA[c0],NADH[c0],H+[c0],3-Oxo-OPC4-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn07688	R07898	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07883	rxn07883_Shan	"cpd00003[c0],cpd15173[c0],cpd00004[c0],cpd00067[c0],cpd15175[c0]"	"NAD[c0],3-Hydroxy-5-methylhex-4-enoyl-CoA[c0],NADH[c0],H+[c0],5-Methyl-3-oxo-4-hexenoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn07883	3-hydroxy-5-methylhex-4-enoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn08700	rxn08700_Shan	"cpd00003[c0],cpd15204[c0],cpd00004[c0],cpd00067[c0],cpd14935[c0]"	"NAD[c0],(S)-3-Hydroxyoctadecanoyl-CoA[c0],NADH[c0],H+[c0],3-Oxostearoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn08700	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)	FALSE	0	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn15495	rxn15495_Shan	"cpd00003[c0],cpd11263[c0],cpd00004[c0],cpd00067[c0],cpd03248[c0]"	"NAD[c0],(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26- oyl-CoA[c0],NADH[c0],H+[c0],3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn15495	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn15510	rxn15510_Shan	"cpd00003[c0],cpd19043[c0],cpd00004[c0],cpd00067[c0],cpd19044[c0]"	"NAD[c0],(S)-3-Hydroxyisobutyrate[c0],NADH[c0],H+[c0],(S)-Methylmalonate semialdehyde[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn15510	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn20473	rxn20473_Shan	"cpd00003[c0],cpd27345[c0],cpd00004[c0],cpd00067[c0],cpd22026[c0]"	"NAD[c0],L-3-HYDROXYACYL-COA[c0],NADH[c0],H+[c0],3-KETOACYL-COA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn20473	L-3-hydroxyacyl coenzyme A dehydrogenase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn21061	rxn21061_Shan	"cpd00003[c0],cpd22980[c0],cpd00004[c0],cpd00067[c0],cpd22981[c0]"	"NAD[c0],OPC8-3-hydroxyacyl-CoA[c0],NADH[c0],H+[c0],OPC8-3-ketoacyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn21061	RXN-10698.c	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn21065	rxn21065_Shan	"cpd00003[c0],cpd22983[c0],cpd00004[c0],cpd00067[c0],cpd22984[c0]"	"NAD[c0],OPC6-3-hydroxyacyl-CoA[c0],NADH[c0],H+[c0],OPC6-3-ketoacyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn21065	RXN-10702.c	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn21066	rxn21066_Shan	"cpd00003[c0],cpd22986[c0],cpd00004[c0],cpd00067[c0],cpd22987[c0]"	"NAD[c0],OPC4-3-hydroxyacyl-CoA[c0],NADH[c0],H+[c0],OPC4-3-ketoacyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn21066	RXN-10703.c	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn21572	rxn21572_Shan	"cpd00003[c0],cpd23287[c0],cpd00004[c0],cpd00067[c0],cpd23288[c0]"	"NAD[c0],3-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA[c0],NADH[c0],H+[c0],3-(4-hydroxyphenyl)-3-keto-propanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn21572	RXN-11245.c	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn23121	rxn23121_Shan	"cpd00003[c0],cpd24000[c0],cpd00004[c0],cpd00067[c0],cpd24001[c0]"	"NAD[c0],24-hydroxy-3-oxocholest-4-en-26-oyl-CoA[c0],NADH[c0],H+[c0],3,24-dioxocholest-4-en-26-oyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn23121	3-hydroxyacyl-CoA dehydrogenase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn23125	rxn23125_Shan	"cpd00003[c0],cpd24004[c0],cpd00004[c0],cpd00067[c0],cpd24005[c0]"	"NAD[c0],22-hydroxy-3-oxochol-4-en-24-oyl-CoA[c0],NADH[c0],H+[c0],3,22-dioxochol-4-en-24-oyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn23125	RXN-12709.c	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn23153	rxn23153_Shan	"cpd00003[c0],cpd24030[c0],cpd00004[c0],cpd00067[c0],cpd24031[c0]"	"NAD[c0],3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoyl-CoA[c0],NADH[c0],H+[c0],3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-oxopropanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn23153	3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoate dehydrogenase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn27454	rxn27454_Shan	"cpd00003[c0],cpd27345[c0],cpd00004[c0],cpd00067[c0],cpd22026[c0]"	"NAD[c0],L-3-HYDROXYACYL-COA[c0],NADH[c0],H+[c0],3-KETOACYL-COA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn27454	3-hydroxyacyl-CoA dehydrogenase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn30548	rxn30548_Shan	"cpd00003[c0],cpd00876[c0],cpd00004[c0],cpd00067[c0],cpd19044[c0]"	"NAD[c0],3-Hydroxyisobutyrate[c0],NADH[c0],H+[c0],(S)-Methylmalonate semialdehyde[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn30548	3-hydroxyacyl-CoA dehydrogenase	TRUE	-1000	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn31677	rxn31677_Shan	"cpd00003[c0],cpd02691[c0],cpd00004[c0],cpd00008[c0],cpd02124[c0]"	"NAD[c0],2-methyl-3-hydroxy-butyryl-CoA[c0],NADH[c0],ADP[c0],2-Methylacetoacetyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn31677	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	FALSE	0	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn31684	rxn31684_Shan	"cpd00003[c0],cpd03231[c0],cpd00004[c0],cpd00008[c0],cpd03232[c0]"	"NAD[c0],3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA[c0],NADH[c0],ADP[c0],3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn31684	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	FALSE	0	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn31720	rxn31720_Shan	"cpd00003[c0],cpd09844[c0],cpd00004[c0],cpd00008[c0],cpd01507[c0]"	"NAD[c0],(3S)-3-Hydroxyadipyl-CoA[c0],NADH[c0],ADP[c0],3-Oxoadipyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn31720	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	FALSE	0	1000
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn32645	rxn32645_Shan	"cpd00003[c0],cpd03043[c0],cpd00004[c0],cpd00067[c0],cpd00279[c0]"	"NAD[c0],3-Hydroxybutanoyl-CoA[c0],NADH[c0],H+[c0],Acetoacetyl-CoA[c0]"	"-1,-1,1,2,1"	"1,1,1,1,1"	rxn32645	BHBDCLOS-RXN	TRUE	-1000	1000
R02765	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn01996	rxn01996_Shan	"cpd00891[c0],cpd00519[c0]"	"L-methylmalonyl-CoA[c0],D-methylmalonyl-CoA[c0]"	"-1,1"	"1,1"	rxn01996	Methylmalonyl-CoA epimerase	TRUE	-1000	1000
R02765	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		5.1.99.1	rxn01996	rxn01996_Shan	"cpd00891[c0],cpd00519[c0]"	"L-methylmalonyl-CoA[c0],D-methylmalonyl-CoA[c0]"	"-1,1"	"1,1"	rxn01996	Methylmalonyl-CoA epimerase	TRUE	-1000	1000
R02765	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		5.1.99.1	rxn16825	rxn16825_Shan	"cpd18009[c0],cpd00067[c0],cpd21471[c0]"	"Ethylmalonyl-CoA[c0],H+[c0],(2R)-Ethylmalonyl-CoA[c0]"	"-1,5,1"	"1,1,1"	rxn16825	(2S)-ethylmalonyl-CoA epimerase	TRUE	-1000	1000
R09280	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn16140	rxn16140_Shan	"cpd00005[c0],cpd00067[c0],cpd00078[c0],cpd00006[c0],cpd00010[c0],cpd00199[c0]"	"NADPH[c0],H+[c0],Succinyl-CoA[c0],NADP[c0],CoA[c0],4-Oxobutanoate[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn16140	succinate-semialdehyde:NADP+ oxidoreductase (CoA-acylating)	TRUE	-1000	1000
R09280	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.2.1.76	rxn16140	rxn16140_Shan	"cpd00005[c0],cpd00067[c0],cpd00078[c0],cpd00006[c0],cpd00010[c0],cpd00199[c0]"	"NADPH[c0],H+[c0],Succinyl-CoA[c0],NADP[c0],CoA[c0],4-Oxobutanoate[c0]"	"-1,-1,-1,1,1,1"	"1,1,1,1,1,1"	rxn16140	succinate-semialdehyde:NADP+ oxidoreductase (CoA-acylating)	TRUE	-1000	1000
R09289	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn16149	rxn16149_Shan	"cpd00006[c0],cpd00745[c0],cpd00005[c0],cpd00067[c0],cpd00191[c0]"	"NADP[c0],Hydracrylic acid[c0],NADPH[c0],H+[c0],3-Oxopropanoate[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn16149	3-hydroxypropionate:NADP+ oxidoreductase	TRUE	-1000	1000
R09289	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.298	rxn16149	rxn16149_Shan	"cpd00006[c0],cpd00745[c0],cpd00005[c0],cpd00067[c0],cpd00191[c0]"	"NADP[c0],Hydracrylic acid[c0],NADPH[c0],H+[c0],3-Oxopropanoate[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn16149	3-hydroxypropionate:NADP+ oxidoreductase	TRUE	-1000	1000
R10782	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		4.2.1.120	rxn03642	rxn03642_Shan	"cpd07946[c0],cpd00001[c0],cpd01557[c0]"	"4-Hydroxybutyryl-CoA[c0],H2O[c0],3-Butenoyl-CoA[c0]"	"-1,1,1"	"1,1,1"	rxn03642	4-hydroxybutanoyl-CoA hydro-lyase	FALSE	0	1000
1.1.1.298	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle			rxn16149	rxn16149_Shan	"cpd00006[c0],cpd00745[c0],cpd00005[c0],cpd00067[c0],cpd00191[c0]"	"NADP[c0],Hydracrylic acid[c0],NADPH[c0],H+[c0],3-Oxopropanoate[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn16149	3-hydroxypropionate:NADP+ oxidoreductase	TRUE	-1000	1000
1.1.1.35	EC	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle			rxn01451	rxn01451_Shan	"cpd00003[c0],cpd00842[c0],cpd00004[c0],cpd00067[c0],cpd00279[c0]"	"NAD[c0],(S)-3-Hydroxybutyryl-CoA[c0],NADH[c0],H+[c0],Acetoacetyl-CoA[c0]"	"-1,-1,1,1,1"	"1,1,1,1,1"	rxn01451	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	TRUE	-1000	1000
