Key	Type	Reactions	MetaCyc	EC	MSID	id	abbreviation	name	code	stoichiometry	is_transport	equation	definition	reversibility	direction	abstract_reaction	pathways	aliases	ec_numbers	deltag	deltagerr	compound_ids	status	is_obsolete	linked_reaction	notes	is_copy_of	gapseq.status
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn14157	rxn14157	R08924	butanoyl-CoA:carbon-dioxide ligase (ADP-forming)	(1) cpd00002[0] + (1) cpd00120[0] + (1) cpd00242[0] <=> (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd18009[0]	-1:cpd00002:0:0:"ATP";-4:cpd00067:0:0:"H+";-1:cpd00120:0:0:"Butyryl-CoA";-1:cpd00242:0:0:"H2CO3";1:cpd00008:0:0:"ADP";1:cpd00009:0:0:"Phosphate";1:cpd18009:0:0:"Ethylmalonyl-CoA"	0	(1) cpd00002[0] + (4) cpd00067[0] + (1) cpd00120[0] + (1) cpd00242[0] => (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd18009[0]	(1) ATP[0] + (4) H+[0] + (1) Butyryl-CoA[0] + (1) H2CO3[0] => (1) ADP[0] + (1) Phosphate[0] + (1) Ethylmalonyl-CoA[0]	>	>					-2.88	0.75	cpd00002;cpd00008;cpd00009;cpd00067;cpd00120;cpd00242;cpd18009	OK	0		HB		approved
R01859	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		6.4.1.3	rxn26656	rxn26656	RXN1G-4355.c	cerotoyl-CoA carboxylase	(1) cpd00011[0] + (1) cpd26581[0] <=> (1) cpd26582[0]	-1:cpd00011:0:0:"CO2";-1:cpd26581:0:0:"cerotoyl-CoA";1:cpd00067:0:0:"H+";1:cpd26582:0:0:"2-carboxyl-cerotoyl-CoA"	0	(1) cpd00011[0] + (1) cpd26581[0] <= (1) cpd00067[0] + (1) cpd26582[0]	(1) CO2[0] + (1) cerotoyl-CoA[0] <= (1) H+[0] + (1) 2-carboxyl-cerotoyl-CoA[0]	<	<					3.09	0.54	cpd00011;cpd00067;cpd26581;cpd26582	OK	0				not.assessed
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		ko_to_ms	rxn01451	rxn01451	R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd00842[0] <=> (1) cpd00004[0] + (1) cpd00279[0]	-1:cpd00003:0:0:"NAD";-1:cpd00842:0:0:"(S)-3-Hydroxybutyryl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd00279:0:0:"Acetoacetyl-CoA"	0	(1) cpd00003[0] + (1) cpd00842[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00279[0]	(1) NAD[0] + (1) (S)-3-Hydroxybutyryl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetoacetyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd00279;cpd00842	OK	0	rxn20475;rxn27455			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn01451	rxn01451	R01975	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd00842[0] <=> (1) cpd00004[0] + (1) cpd00279[0]	-1:cpd00003:0:0:"NAD";-1:cpd00842:0:0:"(S)-3-Hydroxybutyryl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd00279:0:0:"Acetoacetyl-CoA"	0	(1) cpd00003[0] + (1) cpd00842[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00279[0]	(1) NAD[0] + (1) (S)-3-Hydroxybutyryl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Acetoacetyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd00279;cpd00842	OK	0	rxn20475;rxn27455			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03239	rxn03239	R04737	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03113[0] <=> (1) cpd00004[0] + (1) cpd03114[0]	-1:cpd00003:0:0:"NAD";-1:cpd03113:0:0:"(S)-3-Hydroxyhexadecanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03114:0:0:"3-Oxopalmitoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03113[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03114[0]	(1) NAD[0] + (1) (S)-3-Hydroxyhexadecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxopalmitoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03113;cpd03114	OK	0	rxn20474;rxn34739			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03242	rxn03242	R04741	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03116[0] <=> (1) cpd00004[0] + (1) cpd03117[0]	-1:cpd00003:0:0:"NAD";-1:cpd03116:0:0:"(S)-3-Hydroxydodecanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03117:0:0:"3-Oxododecanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03116[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03117[0]	(1) NAD[0] + (1) (S)-3-Hydroxydodecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxododecanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03116;cpd03117	OK	0	rxn20478;rxn34737			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03244	rxn03244	R04743	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03118[0] <=> (1) cpd00004[0] + (1) cpd03119[0]	-1:cpd00003:0:0:"NAD";-1:cpd03118:0:0:"(S)-Hydroxydecanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03119:0:0:"3-Oxodecanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03118[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03119[0]	(1) NAD[0] + (1) (S)-Hydroxydecanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxodecanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03118;cpd03119	OK	0	rxn20480;rxn34736			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03246	rxn03246	R04745	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03120[0] <=> (1) cpd00004[0] + (1) cpd03121[0]	-1:cpd00003:0:0:"NAD";-1:cpd03120:0:0:"(S)-Hydroxyoctanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03121:0:0:"3-Oxooctanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03120[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03121[0]	(1) NAD[0] + (1) (S)-Hydroxyoctanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxooctanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03120;cpd03121	OK	0	rxn20479;rxn34735			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03249	rxn03249	R04748	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03122[0] <=> (1) cpd00004[0] + (1) cpd03123[0]	-1:cpd00003:0:0:"NAD";-1:cpd03122:0:0:"(S)-Hydroxyhexanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03123:0:0:"3-Oxohexanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03122[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03123[0]	(1) NAD[0] + (1) (S)-Hydroxyhexanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxohexanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03122;cpd03123	OK	0	rxn20481;rxn34734			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03287	rxn03287	R04810	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03231[0] <=> (1) cpd00004[0] + (1) cpd03232[0]	-1:cpd00003:0:0:"NAD";-1:cpd03231:0:0:"3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03232:0:0:"3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03231[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03232[0]	(1) NAD[0] + (1) 3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03231;cpd03232	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03289	rxn03289	R04812	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03233[0] <=> (1) cpd00004[0] + (1) cpd03248[0]	-1:cpd00003:0:0:"NAD";-1:cpd03233:0:0:"3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd03248:0:0:"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03233[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03248[0]	(1) NAD[0] + (1) 3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03233;cpd03248	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn03860	rxn03860	R05575	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd06711[0] <=> (1) cpd00004[0] + (1) cpd06712[0]	-1:cpd00003:0:0:"NAD";-1:cpd06711:0:0:"(Hydroxymethylphenyl)succinyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd06712:0:0:"Benzoylsuccinyl-CoA"	0	(1) cpd00003[0] + (1) cpd06711[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd06712[0]	(1) NAD[0] + (1) (Hydroxymethylphenyl)succinyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) Benzoylsuccinyl-CoA[0]	=	=					2.21	1.11	cpd00003;cpd00004;cpd00067;cpd06711;cpd06712	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn04750	rxn04750	R06941	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd09844[0] <=> (1) cpd00004[0] + (1) cpd01507[0]	-1:cpd00003:0:0:"NAD";-1:cpd09844:0:0:"(3S)-3-Hydroxyadipyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd01507:0:0:"3-Oxoadipyl-CoA"	0	(1) cpd00003[0] + (1) cpd09844[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd01507[0]	(1) NAD[0] + (1) (3S)-3-Hydroxyadipyl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) 3-Oxoadipyl-CoA[0]	<	<					51.41	1.08	cpd00003;cpd00004;cpd00067;cpd01507;cpd09844	CI:-4	0	rxn37809	HB		corrected
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn06037	rxn06037	R01778	(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd11718[0] <=> (1) cpd00004[0] + (1) cpd11637[0]	-1:cpd00003:0:0:"NAD";-1:cpd11718:0:0:"(S)-3-Hydroxyacyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd11637:0:0:"3-Oxoacyl-CoA"	0	(1) cpd00003[0] + (1) cpd11718[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd11637[0]	(1) NAD[0] + (1) (S)-3-Hydroxyacyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxoacyl-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd11637;cpd11718	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn06777	rxn06777	R04739	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd03115[0] <=> (1) cpd00004[0] + (1) cpd12689[0]	-1:cpd00003:0:0:"NAD";-1:cpd03115:0:0:"(S)-3-Hydroxytetradecanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd12689:0:0:"3-Oxotetradecanoyl-CoA"	0	(1) cpd00003[0] + (1) cpd03115[0] <= (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd12689[0]	(1) NAD[0] + (1) (S)-3-Hydroxytetradecanoyl-CoA[0] <= (1) NADH[0] + (1) H+[0] + (1) 3-Oxotetradecanoyl-CoA[0]	<	<					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd03115;cpd12689	OK	0	rxn30390;rxn34738			approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07680	rxn07680	R07890	R07890	(1) cpd00003[0] + (1) cpd15045[0] <=> (1) cpd00004[0] + (1) cpd15046[0]	-1:cpd00003:0:0:"NAD";-1:cpd15045:0:0:"3-Hydroxy-OPC8-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd15046:0:0:"3-Oxo-OPC8-CoA"	0	(1) cpd00003[0] + (1) cpd15045[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15046[0]	(1) NAD[0] + (1) 3-Hydroxy-OPC8-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxo-OPC8-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd15045;cpd15046	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07684	rxn07684	R07894	R07894	(1) cpd00003[0] + (1) cpd15049[0] <=> (1) cpd00004[0] + (1) cpd15050[0]	-1:cpd00003:0:0:"NAD";-1:cpd15049:0:0:"3-Hydroxy-OPC6-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd15050:0:0:"3-Oxo-OPC6-CoA"	0	(1) cpd00003[0] + (1) cpd15049[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15050[0]	(1) NAD[0] + (1) 3-Hydroxy-OPC6-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxo-OPC6-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd15049;cpd15050	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07688	rxn07688	R07898	R07898	(1) cpd00003[0] + (1) cpd15053[0] <=> (1) cpd00004[0] + (1) cpd15054[0]	-1:cpd00003:0:0:"NAD";-1:cpd15053:0:0:"3-Hydroxy-OPC4-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd15054:0:0:"3-Oxo-OPC4-CoA"	0	(1) cpd00003[0] + (1) cpd15053[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15054[0]	(1) NAD[0] + (1) 3-Hydroxy-OPC4-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Oxo-OPC4-CoA[0]	=	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd15053;cpd15054	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn07883	rxn07883	R08094	3-hydroxy-5-methylhex-4-enoyl-CoA:NAD+ oxidoreductase	(1) cpd00003[0] + (1) cpd15173[0] <=> (1) cpd00004[0] + (1) cpd15175[0]	-1:cpd00003:0:0:"NAD";-1:cpd15173:0:0:"3-Hydroxy-5-methylhex-4-enoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd15175:0:0:"5-Methyl-3-oxo-4-hexenoyl-CoA"	0	(1) cpd00003[0] + (1) cpd15173[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd15175[0]	(1) NAD[0] + (1) 3-Hydroxy-5-methylhex-4-enoyl-CoA[0] <=> (1) NADH[0] + (1) H+[0] + (1) 5-Methyl-3-oxo-4-hexenoyl-CoA[0]	=	=					2.21	1.11	cpd00003;cpd00004;cpd00067;cpd15173;cpd15175	OK	0				approved
R01975	kegg	PWY-5789_3-hydroxypropanoate/4-hydroxybutanate cycle		1.1.1.35	rxn08700	rxn08700	HACD8i	3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)	(1) cpd00003[0] + (1) cpd15204[0] <=> (1) cpd00004[0] + (1) cpd14935[0]	-1:cpd00003:0:0:"NAD";-1:cpd15204:0:0:"(S)-3-Hydroxyoctadecanoyl-CoA";1:cpd00004:0:0:"NADH";1:cpd00067:0:0:"H+";1:cpd14935:0:0:"3-Oxostearoyl-CoA"	0	(1) cpd00003[0] + (1) cpd15204[0] => (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd14935[0]	(1) NAD[0] + (1) (S)-3-Hydroxyoctadecanoyl-CoA[0] => (1) NADH[0] + (1) H+[0] + (1) 3-Oxostearoyl-CoA[0]	>	=					3.76	1.08	cpd00003;cpd00004;cpd00067;cpd14935;cpd15204	OK	0	rxn20476			corrected
