		sol$fluxes	cpd00067[c0]	cpd00067[e0]
rxn00410_c0	UTP:ammonia ligase (ADP-forming)	0.0411085160863463	2	0
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)	0.0619658998556435	2	0
rxn00438_c0	ATP:thiamin-phosphate phosphotransferase	0.00106876185268536	-1	0
rxn00453_c0	O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	-1000	1	0
rxn00490_c0	L-arogenate hydro-lyase (decarboxylating; L-phenylalanine-forming)	0.0476244470506283	-1	0
rxn00506_c0	Acetaldehyde:NAD+ oxidoreductase	1.13686837721616e-13	2	0
rxn00510_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase (L-lysine-forming)	-999.911786535577	1	0
rxn00512_c0	Glycolate:NAD+ oxidoreductase	1000	1	0
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)	-0.00213752370541442	1	0
rxn00536_c0	Ethanol:NADP+ oxidoreductase	1000	1	0
rxn00543_c0	ethanol:NAD+ oxidoreductase	-1000	1	0
rxn00599_c0	succinyl-CoA:glycine C-succinyltransferase (decarboxylating)	0.0171001896437554	-1	0
rxn00604_c0	D-glucose-6-phosphate:NADP+ 1-oxidoreductase	1000	1	0
rxn00611_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase	-0.0507156836661086	1	0
rxn00615_c0	ATP:glycerol 3-phosphotransferase	0.0084526139443763	1	0
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)	0.00106876185268537	1	0
rxn00653_c0	3-aminopropanal:NAD+ oxidoreductase	-1000	-2	0
rxn00684_c0	5,6,7,8-tetrahydrofolate:NAD+ oxidoreductase	-1000	1	0
rxn00686_c0	5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase	-0.00989054703688907	1	0
rxn00710_c0	orotidine-5'-phosphate carboxy-lyase (UMP-forming)	0.0847362082343689	-1	0
rxn00719_c0	5,6-Dihydrouracil:NAD+ oxidoreductase	-1000	1	0
rxn00720_c0	5,6-Dihydrouracil:NADP+ oxidoreductase	1000	1	0
rxn00726_c0	chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)	0.0146120462543057	1	0
rxn00740_c0	O-Succinyl-L-homoserine succinate-lyase (deaminating; 2-oxobutanoate-forming)	0.0746837919657537	1	0
rxn00763_c0	Glycerol:NAD+ oxidoreductase	1000	1	0
rxn00765_c0	Glycerol:NADP+ oxidoreductase	-1000	1	0
rxn00770_c0	ATP:D-ribose-5-phosphate diphosphotransferase	0.253203080346751	1	0
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	-7.74867318028794	1	0
rxn00789_c0	1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase	-0.024353410423756	-1	0
rxn00790_c0	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)	-0.126295129876243	-1	0
rxn00791_c0	N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase	-0.0146120462543057	-1	0
rxn00804_c0	L-leucine:NAD+ oxidoreductase (deaminating)	-1000	1	0
rxn00834_c0	IMP:NAD+ oxidoreductase	0.0673185223014343	1	0
rxn00838_c0	IMP:L-aspartate ligase (GDP-forming)	0.0822612561458394	2	0
rxn00863_c0	L-histidinal:NAD+ oxidoreductase	0.024353410423756	2	0
rxn00902_c0	acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	-0.138354300088328	-1	0
rxn00910_c0	5-methyltetrahydrofolate:NADP+ oxidoreductase	-0.0437816909876121	1	0
rxn00916_c0	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)	0.0673185223014825	3	0
rxn00945_c0	hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase	-0.0225403038523382	1	0
rxn00947_c0	Palmitate:CoA ligase (AMP-forming)	-1.19268126695644e-13	1	0
rxn00957_c0	4-hydroxybenzaldehyde:NAD+ oxidoreductase	1000	2	0
rxn00958_c0	4-Hydroxybenzaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn00979_c0	glycolaldehyde:NAD+ oxidoreductase	0.00320628555800795	2	0
rxn00997_c0	Phenyllactate:NAD+ oxidoreductase	990.889269003089	1	0
rxn00998_c0	Phenyllactate:NADP+ oxidoreductase	-990.889269003089	1	0
rxn01011_c0	D-Glycerate:NAD+ 2-oxidoreductase	1000	1	0
rxn01013_c0	D-Glycerate:NADP+ 2-oxidoreductase	-1000	1	0
rxn01018_c0	carbamoyl-phosphate:L-aspartate carbamoyltransferase	0.0847362082344034	1	0
rxn01019_c0	Carbamoyl-phosphate:L-ornithine carbamoyltransferase	1000	1	0
rxn01027_c0	5,6-Dihydrothymine:NAD+ oxidoreductase	-1000	1	0
rxn01028_c0	5,6-Dihydrothymine:NADP+ oxidoreductase	1000	1	0
rxn01032_c0	Benzaldehyde:NAD+ oxidoreductase	1000	2	0
rxn01033_c0	benzaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn01041_c0	D-xylose:NAD+ 1-oxidoreductase	1000	1	0
rxn01043_c0	xylitol:NADP+ oxidoreductase	1000	1	0
rxn01045_c0	L-Valine:NAD+ oxidoreductase(deaminating)	-1000	1	0
rxn01108_c0	beta-D-Glucose:NAD+ 1-oxoreductase	1000	1	0
rxn01211_c0	5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	-0.158956470933276	1	0
rxn01213_c0	GPPSYN-RXN	1000	1	0
rxn01241_c0	Dihydrolipoamide:NAD+ oxidoreductase	-0.323954182318289	1	0
rxn01276_c0	D-Gluconate:NAD+ 5-oxidoreductase	1000	1	0
rxn01278_c0	D-Gluconate:NADP+ 5-oxidoreductase	-1000	1	0
rxn01290_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1	0
rxn01291_c0	L-Arabitol:NADP+ 1-oxidoreductase	1000	1	0
rxn01300_c0	ATP:L-homoserine O-phosphotransferase	0.0652130212454588	1	0
rxn01301_c0	L-Homoserine:NAD+ oxidoreductase	-0.180472218679945	1	0
rxn01324_c0	Tetrahydrobiopterin:NADP+ oxidoreductase	-1000	1	0
rxn01331_c0	D-erythrose 4-phosphate:NAD+ oxidoreductase	0.00106876185270721	2	0
rxn01337_c0	3beta-Hydroxyandrost-5-en-17-one:NAD+ 3-oxidoreductase/delta5-delta-4 isomerase	1000	1	0
rxn01339_c0	3beta-Hydroxyandrost-5-en-17-one:NADP+ 3-oxidoreductase	-1000	1	0
rxn01361_c0	(S)-dihydroorotate:NAD+ oxidoreductase	0.0847362082343689	1	0
rxn01362_c0	Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase	-0.0847362082343689	-1	0
rxn01363_c0	L-quinate:NAD+ 3-oxidoreductase	1000	1	0
rxn01377_c0	gamma-Amino-gamma-cyanobutanoate aminohydrolase	1000	-1	0
rxn01387_c0	Isocitrate:NADP+ oxidoreductase	1000	1	0
rxn01420_c0	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	0.0882134644232337	-1	0
rxn01425_c0	Caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating)	-1000	1	0
rxn01434_c0	L-Citrulline:L-aspartate ligase (AMP-forming)	0.0760367592115101	2	0
rxn01451_c0	(S)-3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase	999.955039112662	1	0
rxn01465_c0	(S)-dihydroorotate amidohydrolase	-0.0847362082344034	1	0
rxn01466_c0	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase	0.00373676391443449	1	0
rxn01513_c0	ATP:dTMP phosphotransferase	0.00668426147888113	-1	0
rxn01517_c0	ATP:dUMP phosphotransferase	-0.00668426147888113	-1	0
rxn01570_c0	Coniferyl aldehyde:NADP+ oxidoreductase (CoA-feruloylating)	-1000	1	0
rxn01573_c0	L-Isoleucine:NAD+ oxidoreductase(deaminating)	999.925316208034	1	0
rxn01582_c0	20alpha-Hydroxy-4-pregnen-3-one:NAD+ 20-oxidoreductase	1000	-1	0
rxn01584_c0	20alpha-Hydroxy-4-pregnen-3-one:NADP+ 20-oxidoreductase	-1000	-1	0
rxn01586_c0	Pregnenolone:NAD+ 3-oxidoreductase	-1000	1	0
rxn01587_c0	Pregnenolone:NADP+ 3-oxidoreductase	1000	1	0
rxn01603_c0	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)	0.00320628555804408	1	0
rxn01615_c0	Propane-1,2-diol:NAD+ oxidoreductase	1000	1	0
rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	-1000	1	0
rxn01644_c0	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing)	0.00373676391444852	1	0
rxn01663_c0	N6-(L-1,3-Dicarboxypropyl)-L-lysine:NADP+ oxidoreductase	999.911786535577	1	0
rxn01685_c0	Acetoin:NAD+ oxidoreductase	1000	1	0
rxn01692_c0	Estradiol-17beta:NAD+ 17-oxidoreductase	1000	1	0
rxn01693_c0	Estradiol-17beta:NADP+ 17-oxidoreductase	-1000	1	0
rxn01731_c0	Itaconate:CoA ligase (ADP-forming)	1000	-1	0
rxn01732_c0	Itaconate:CoA ligase (GDP-forming)	-1000	-1	0
rxn01733_c0	Itaconate:CoA ligase (IDP-forming)	-1000	-1	0
rxn01734_c0	Succinyl-CoA:citramalate CoA-transferase	1000	-1	0
rxn01739_c0	ATP:shikimate 3-phosphotransferase	0.100890520701796	1	0
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase	999.899109479298	1	0
rxn01790_c0	(R)-Pantoate:NADP+ 2-oxidoreductase	-0.00213752370541442	1	0
rxn01791_c0	(R)-Pantoate:beta-alanine ligase (AMP-forming)	0.00213752370537058	2	0
rxn01809_c0	Testosterone delta5-delat4-isomerase	1000	-1	0
rxn01810_c0	Testosterone delta5-delat4-isomerase	-1000	-1	0
rxn01816_c0	R02508	-1000	-1	0
rxn01835_c0	Lactaldehyde:NAD+ 1-oxidoreductase	-1000	1	0
rxn01840_c0	Phenylacetaldehyde:NAD+ oxidoreductase	-1000	1	0
rxn01841_c0	Aldehyde:NADP+ oxidoreductase	1000	1	0
rxn01879_c0	Propane-1,2-diol:NAD+ 1-oxidoreductase	-1000	1	0
rxn01887_c0	coniferyl alcohol:NADP+ oxidoreductase	-1000	1	0
rxn01902_c0	Phenylethylalcohol:NAD+ oxidoreductase	-1000	1	0
rxn01937_c0	Indole-3-acetaldehyde:NAD+ oxidoreductase	1000	2	0
rxn01938_c0	indole-3-ethanol:NAD+ oxidoreductase	1000	1	0
rxn01939_c0	indole-3-ethanol:NADP+ oxidoreductase	-1000	1	0
rxn01943_c0	4-Hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	2	0
rxn01944_c0	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn01983_c0	1-Acyl-sn-glycero-3-phosphocholine acylhydrolase	1000	1	0
rxn02008_c0	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase(ADP-forming)	0.00373676391450317	1	0
rxn02009_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:L-lysine gamma-ligase (ADP-forming)	5.46472589402214e-14	1	0
rxn02011_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:(L)-meso-2,6-diaminoheptanedioate gamma-ligase (ADP-forming)	0.00373676391444852	1	0
rxn02038_c0	Cortisol delta5-delat4-isomerase	-1000	-1	0
rxn02040_c0	Cortisol delta5-delat4-isomerase	1000	-1	0
rxn02049_c0	R02856	-1000	1	0
rxn02056_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	-0.00106876185268136	-2	0
rxn02102_c0	(S)-Ureidoglycolate:NAD+ oxidoreductase	1000	1	0
rxn02103_c0	(S)-Ureidoglycolate:NADP+ oxidoreductase	-1000	1	0
rxn02159_c0	L-Histidinol:NAD+ oxidoreductase	0.0243534104237142	1	0
rxn02186_c0	2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	1000	-1	0
rxn02209_c0	(R)-Propane-1,2-diol:NAD+ oxidoreductase	1000	1	0
rxn02226_c0	L-2-Aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase	999.911786535577	2	0
rxn02227_c0	L-2-Aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase	-1000	2	0
rxn02270_c0	Branched-chain acyl-CoA dehydrogenase	-0.0225403038516561	-1	0
rxn02285_c0	UDP-N-acetylmuramate:NADP+ oxidoreductase	-0.00373676391450317	1	0
rxn02286_c0	UDP-N-acetylmuramate:L-alanine ligase (ADP-forming)	0.00373676391450317	1	0
rxn02287_c0	S-adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	1000	1	0
rxn02288_c0	Uroporphyrinogen-III carboxy-lyase	0.0010687618528209	-4	0
rxn02302_c0	O-Acetyl-L-homoserine succinate-lyase (adding cysteine)	1000	1	0
rxn02341_c0	N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase	0.00213752370537058	-1	0
rxn02364_c0	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	2	0
rxn02365_c0	3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn02373_c0	L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)	-0.13499890723865	1	0
rxn02383_c0	20alpha-hydroxy steroid dehydrogenase	1000	1	0
rxn02384_c0	17alpha,20alpha-Dihydroxypregn-4-en-3-one:NADP+ 20-oxidoreductase	-1000	1	0
rxn02385_c0	17alpha-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1	0
rxn02386_c0	17alpha-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1	0
rxn02392_c0	4-hydroxyphenyllactate:NAD+ oxidoreductase	1000	1	0
rxn02393_c0	(R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidoreductase	1000	1	0
rxn02394_c0	4-Hydroxyphenyllactate:NADP+ oxidoreductase	-1000	1	0
rxn02395_c0	(R)-3-(4-hydroxyphenyl)lactate:NADP+ 2-oxidoreductase	-1000	1	0
rxn02402_c0	Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating)	-0.00213752370537058	1	0
rxn02405_c0	CTP:3-deoxy-D-manno-octulosonate cytidylyltransferase	0.011210291743189	1	0
rxn02474_c0	5-amino-6-(5-phosphoribitylamino)uracil:NADP+ 1'-oxidoreductase	-0.00213752370541442	1	0
rxn02475_c0	2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine 2-aminohydrolase	0.00213752370537074	-1	0
rxn02507_c0	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose-5-phosphate carboxy-lyase(cyclizing)	0.0146120462543057	-1	0
rxn02679_c0	Octanoyl-CoA:oxygen 2-oxidoreductase	-0.044960887338334	-1	0
rxn02720_c0	Lauroyl-CoA:(acceptor) 2,3-oxidoreductase	-0.044960887338334	-1	0
rxn02758_c0	Sinapyl alcohol:NADP+ oxidoreductase	1000	-1	0
rxn02774_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	0.00106876185268136	2	0
rxn02803_c0	Tetradecanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.0262770677667277	-1	0
rxn02810_c0	(E)-Glutaconate CoA-transferase	1000	-1	0
rxn02834_c0	Phosphoribosyl-ATP pyrophosphohydrolase	0.024353410423756	2	0
rxn02895_c0	5-Phospho-D-ribosylamine:glycine ligase (ADP-forming)	0.126295129876243	1	0
rxn02905_c0	21-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1	0
rxn02906_c0	21-Hydroxypregnenolone:NADP+ 3-oxidoreductase	-1000	1	0
rxn02928_c0	2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase	-0.00373676391444852	1	0
rxn02933_c0	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	999.977459696148	1	0
rxn02937_c0	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	0.126295129876243	1	0
rxn02939_c0	4-phospho-D-erythronate:NAD+ 2-oxidoreductase	0.00106876185270721	1	0
rxn02985_c0	6-Lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase	-1000	1	0
rxn03004_c0	10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	1000	1	0
rxn03068_c0	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	1000	1	0
rxn03071_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase	1000	1	0
rxn03072_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	-1000	1	0
rxn03080_c0	5-amino-6-(D-ribitylamino)uracil butanedionetransferase	0.00427504741071516	1	0
rxn03084_c0	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)	0.126295129876243	1	0
rxn03108_c0	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase	0.00106876185270721	-1	0
rxn03112_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+ 15-oxidoreductase	1000	1	0
rxn03113_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+ 15-oxidoreductase	-1000	1	0
rxn03130_c0	UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine 2,3-bis[(3R)-3-hydroxymyristoyl]-beta-D-glucosaminyl 1-phosphate phosphohydrolase	0.00373676391438948	2	0
rxn03135_c0	R04558	-0.0243534104237142	-2	0
rxn03136_c0	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase	1000	1	0
rxn03147_c0	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	0.125226368023557	1	0
rxn03164_c0	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)	0.00373676391444852	1	0
rxn03167_c0	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum)	0.00320628555804408	2	0
rxn03175_c0	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase	0.0243534104237142	-1	0
rxn03181_c0	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase	0.00373676391438948	1	0
rxn03182_c0	CMP-3-deoxy-D-manno-oct-2-ulosonate:lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase	0.00373676391438948	1	0
rxn03198_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	1000	-1	0
rxn03199_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	-1000	-1	0
rxn03200_c0	Estriol:NAD+ 17-oxidoreductase	1000	1	0
rxn03201_c0	Estriol:NADP+ 17-oxidoreductase	-1000	1	0
rxn03239_c0	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	-0.0225403038523382	1	0
rxn03242_c0	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1	0
rxn03244_c0	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1	0
rxn03246_c0	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1	0
rxn03249_c0	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1	0
rxn03251_c0	Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.044960887338334	-1	0
rxn03253_c0	Decanoyl-CoA:(acceptor) 2,3-oxidoreductase	-0.044960887338334	-1	0
rxn03255_c0	short-chain dehydrogenase/reductase (SDR) family protein	-1000	1	0
rxn03256_c0	11beta-Hydroxyandrost-4-ene-3,17-dione:NADP+ 11-oxidoreductase	1000	1	0
rxn03309_c0	short-chain dehydrogenase/reductase (SDR) family protein	1000	1	0
rxn03310_c0	Tetrahydrocorticosterone:NADP+ 11-oxidoreductase	-1000	1	0
rxn03317_c0	11-Deoxycortisol delta5-delat4-isomerase	1000	-1	0
rxn03319_c0	11-Deoxycortisol delta5-delat4-isomerase	-1000	-1	0
rxn03324_c0	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	0.0882134644232337	1	0
rxn03335_c0	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	1000	2	0
rxn03336_c0	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn03340_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	2	0
rxn03341_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn03343_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	1000	2	0
rxn03344_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	-1000	2	0
rxn03435_c0	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)	-0.0746837919657537	1	0
rxn03439_c0	CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)-lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase	0.00373676391438948	1	0
rxn03601_c0	p-Methylbenzaldehyde:NADP+ oxidoreductase	1000	2	0
rxn03638_c0	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase	0.0149470556578487	1	0
rxn03841_c0	4-amino-4-deoxychorismate pyruvate-lyase	0.00320628555804408	1	0
rxn03874_c0	R05595	-1000	-1	0
rxn03894_c0	R05616	-2.41405853640408e-13	1	0
rxn03901_c0	undecaprenyl-diphosphate phosphohydrolase	0.00373676391444852	2	0
rxn03908_c0	ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase	0.0411044030609801	1	0
rxn03909_c0	1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)	0.0432419267663509	-1	0
rxn03918_c0	ATP:D-glycero-beta-D-manno-heptose 7-phosphate 1-phosphotransferase	0.014947055657738	1	0
rxn03935_c0	R05664	1000	2	0
rxn03955_c0	3-Methylbutanol:NAD(P) oxidoreductase	-1000	1	0
rxn03958_c0	1-Deoxy-D-xylulose-5-phosphate isomeroreductase	-0.0411044030610128	1	0
rxn03981_c0	mycothiol:NAD+ oxidoreductase	1000	1	0
rxn03982_c0	mycothiol:NADP+ oxidoreductase	-1000	1	0
rxn04024_c0	trans-feruloyl-CoA hydro-lyase	-1000	-1	0
rxn04025_c0	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA:vanillin lyase (acetyl-CoA-forming)	-1000	1	0
rxn04045_c0	sirohydrochlorin cobalt-lyase	1.13686837721616e-13	3	0
rxn04048_c0	cobalt-precorrin-4 methyltransferase	1.13686837721616e-13	1	0
rxn04050_c0	R05812	1.13686837721616e-13	-1	0
rxn04070_c0	pyridoxine 5'-phosphate synthase	0.00106876185268537	1	0
rxn04424_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1	0
rxn04425_c0	cinnamyl-alcohol:NADP+ oxidoreductase	-1000	-1	0
rxn04428_c0	caffeic aldehyde:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	1000	1	0
rxn04429_c0	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	-1000	1	0
rxn04430_c0	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	1000	1	0
rxn04431_c0	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-methyltransferase	-1000	1	0
rxn04661_c0	L-quinate:NADP+ 3-oxidoreductase	-1000	1	0
rxn04662_c0	shikimate:NAD+ 3-oxidoreductase	-1000	1	0
rxn05005_c0	S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase	-999.998931238147	1	0
rxn05012_c0	carbamoyl-phosphate:N2-acetyl-L-ornithine carbamoyltransferase	-999.923963240788	1	0
