		sol$fluxes	cpd00004[c0]
rxn02038_c0	Cortisol delta5-delat4-isomerase	-1000	-1
rxn02102_c0	(S)-Ureidoglycolate:NAD+ oxidoreductase	1000	1
rxn02159_c0	L-Histidinol:NAD+ oxidoreductase	0.0243534104237142	1
rxn02209_c0	(R)-Propane-1,2-diol:NAD+ oxidoreductase	1000	1
rxn02226_c0	L-2-Aminoadipate-6-semialdehyde:NAD+ 6-oxidoreductase	999.911786535577	1
rxn02364_c0	3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	1
rxn02383_c0	20alpha-hydroxy steroid dehydrogenase	1000	1
rxn02385_c0	17alpha-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1
rxn02392_c0	4-hydroxyphenyllactate:NAD+ oxidoreductase	1000	1
rxn02393_c0	(R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidoreductase	1000	1
rxn02774_c0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase	0.00106876185268136	1
rxn02905_c0	21-Hydroxypregnenolone:NAD+ 3-oxidoreductase	1000	1
rxn02928_c0	2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase	-0.00373676391444852	1
rxn02933_c0	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	999.977459696148	1
rxn02939_c0	4-phospho-D-erythronate:NAD+ 2-oxidoreductase	0.00106876185270721	1
rxn03071_c0	L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase	1000	1
rxn03112_c0	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+ 15-oxidoreductase	1000	1
rxn03198_c0	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	1000	-1
rxn03200_c0	Estriol:NAD+ 17-oxidoreductase	1000	1
rxn03239_c0	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	-0.0225403038523382	1
rxn03242_c0	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1
rxn03244_c0	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1
rxn03246_c0	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1
rxn03249_c0	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase	-0.044960887338334	1
rxn03255_c0	short-chain dehydrogenase/reductase (SDR) family protein	-1000	1
rxn03309_c0	short-chain dehydrogenase/reductase (SDR) family protein	1000	1
rxn03317_c0	11-Deoxycortisol delta5-delat4-isomerase	1000	-1
rxn03324_c0	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)	0.0882134644232337	1
rxn03335_c0	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase	1000	1
rxn03340_c0	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1000	1
rxn03343_c0	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	1000	1
rxn03955_c0	3-Methylbutanol:NAD(P) oxidoreductase	-1000	1
rxn03981_c0	mycothiol:NAD+ oxidoreductase	1000	1
rxn04662_c0	shikimate:NAD+ 3-oxidoreductase	-1000	1
rxn05142_c0	sinapoyl aldehyde:NAD oxidoreductase	1000	1
rxn05293_c0	2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase	0.0411044030609801	-1
rxn06071_c0	rubredoxin:NAD+ oxidoreductase	-1000	1
rxn06252_c0	Alditol:NAD+ 1-oxidoreductase	-1000	1
rxn06525_c0	protein-dithiol:NAD+ oxidoreductase	-1000	1
rxn06777_c0	(S)-3-Hydroxytetradecanoyl-CoA:NAD+ oxidoreductase	-0.0262770677667693	1
rxn07482_c0	3-hydroxybenzaldehyde:NAD+ oxidoreductase	-1000	1
rxn08386_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1)	1000	-1
rxn08390_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1)	1000	-1
rxn08392_c0	trans hexadecenoyl-[acp] reductase	1000	-1
rxn08394_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1)	1000	-1
rxn08398_c0	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	1000	-1
rxn08756_c0	isopentenyl-diphosphate:NAD+ oxidoreductase	0.0411044030609801	-1
rxn08972_c0	NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)	976.328131052322	-1
rxn09071_c0	pyridoxine 5'-phosphate oxidase (anaerboic	0.00106876185270721	1
rxn10124_c0	NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons)	4.04568121695383	-1
rxn10432_c0	R08198	1000	1
rxn10770_c0	R08557	1000	1
rxn11245_c0	RXN-13158.c	0.138354300088328	1
rxn11551_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn11663_c0	4-(phosphonooxy)threonine:NAD oxidoreductase	0.00106876185268537	1
rxn11732_c0	R08198	-1000	1
rxn11810_c0	carboxyphosphamide:NAD+ oxidoreductase	1000	1
rxn12781_c0	RXN-8583.c	-1000	1
rxn12782_c0	RXN-8582.c	-1000	1
rxn13419_c0	3-hydroxy-2-methylbutyryl-CoA-dehydrogenase	-1000	1
rxn14007_c0	11beta,17beta-dihydroxy-4-androsten-3-one:NAD+ 17-oxidoreductase	-1000	1
rxn15122_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn15123_c0	galactitol:NAD+ 1-oxidoreductase	1000	-1
rxn15185_c0	D-xylose:NAD+ 1-oxidoreductase	-1000	1
rxn15238_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1
rxn15239_c0	L-Arabitol:NAD+ 1-oxidoreductase	-1000	1
rxn15317_c0	(S)-Propane-1,2-diol:NAD+ oxidoreductase	-1000	1
rxn15341_c0	Lactaldehyde:NAD+ 1-oxidoreductase	1000	1
rxn15999_c0	2,4-dichloro-3-oxoadipate:NAD+ oxidoreductase	1000	-2
rxn90001_c0	Butyryl-CoA dehydrogenase (Etf complex)	0.044960887338361	-2
rxn08131_c0	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	0.00106876185268536	1
rxn13726_c0	NADH-DEHYDROG-A-RXN.ce.cornexp.CPD-9956_UBIQUINONE-8	-1000	-1
rxn27455_c0	Long-chain-3-hydroxyacyl-CoA dehydrogenase	-1000	1
rxn28322_c0	RXN-6382.m.chlamyexp.NAD_NADH	-1000	1
rxn28352_c0	RXN-7693.d	-1000	-1
rxn28356_c0	RXN-7700.d	-1000	-1
rxn32434_c0	5,6,7,8-Tetrahydrofolate:NAD+ oxidoreductase	-1000	-1
